ImageId,Label
1,3
2,5
3,5
4,7
5,9
6,8
7,1
8,8
9,7
10,0
11,3
12,4
13,4
14,7
15,0
16,4
17,2
18,4
19,7
20,9
21,2
22,1
23,3
24,3
25,7
26,6
27,5
28,7
29,2
30,0
31,3
32,2
33,6
34,7
35,1
36,0
37,9
38,2
39,0
40,6
41,3
42,0
43,9
44,6
45,5
46,0
47,6
48,3
49,0
50,1
51,3
52,3
53,2
54,1
55,4
56,6
57,1
58,7
59,9
60,1
61,7
62,9
63,1
64,0
65,9
66,3
67,6
68,2
69,4
70,5
71,1
72,2
73,6
74,1
75,1
76,5
77,1
78,4
79,3
80,7
81,9
82,2
83,3
84,6
85,2
86,3
87,0
88,4
89,6
90,5
91,9
92,3
93,5
94,6
95,1
96,6
97,5
98,2
99,5
100,4
101,7
102,5
103,1
104,9
105,0
106,6
107,4
108,6
109,7
110,7
111,9
112,5
113,0
114,1
115,8
116,8
117,1
118,6
119,2
120,0
121,3
122,8
123,5
124,3
125,3
126,4
127,6
128,2
129,9
130,0
131,0
132,6
133,0
134,8
135,2
136,1
137,0
138,1
139,7
140,5
141,9
142,2
143,3
144,4
145,0
146,3
147,1
148,0
149,4
150,4
151,2
152,9
153,6
154,8
155,4
156,7
157,7
158,5
159,5
160,5
161,9
162,5
163,0
164,3
165,0
166,0
167,9
168,5
169,7
170,7
171,0
172,6
173,4
174,4
175,4
176,7
177,8
178,2
179,1
180,5
181,7
182,3
183,3
184,1
185,4
186,5
187,4
188,7
189,6
190,6
191,5
192,4
193,9
194,6
195,6
196,1
197,6
198,5
199,2
200,5
201,7
202,7
203,2
204,4
205,2
206,8
207,8
208,8
209,6
210,9
211,7
212,6
213,9
214,2
215,9
216,6
217,0
218,5
219,1
220,0
221,1
222,4
223,5
224,8
225,5
226,6
227,4
228,1
229,9
230,7
231,2
232,3
233,4
234,8
235,8
236,3
237,4
238,5
239,5
240,8
241,8
242,2
243,3
244,3
245,1
246,1
247,0
248,5
249,6
250,4
251,5
252,4
253,6
254,6
255,9
256,1
257,4
258,8
259,0
260,7
261,2
262,1
263,5
264,1
265,9
266,5
267,7
268,6
269,8
270,3
271,3
272,9
273,4
274,9
275,3
276,8
277,5
278,5
279,3
280,6
281,0
282,9
283,3
284,3
285,6
286,1
287,1
288,9
289,8
290,7
291,6
292,0
293,3
294,9
295,8
296,4
297,2
298,9
299,0
300,5
301,2
302,9
303,4
304,8
305,5
306,5
307,0
308,1
309,3
310,8
311,8
312,9
313,2
314,3
315,4
316,9
317,7
318,6
319,9
320,1
321,3
322,6
323,6
324,7
325,0
326,4
327,5
328,8
329,1
330,2
331,2
332,8
333,5
334,5
335,0
336,7
337,0
338,3
339,5
340,0
341,1
342,8
343,0
344,8
345,9
346,9
347,8
348,2
349,7
350,7
351,7
352,2
353,9
354,6
355,4
356,0
357,2
358,0
359,0
360,1
361,0
362,0
363,2
364,8
365,4
366,8
367,4
368,7
369,5
370,8
371,2
372,4
373,4
374,1
375,6
376,4
377,9
378,4
379,1
380,8
381,0
382,5
383,1
384,4
385,9
386,6
387,7
388,6
389,4
390,0
391,5
392,1
393,5
394,7
395,1
396,7
397,5
398,6
399,1
400,3
401,9
402,3
403,8
404,5
405,6
406,6
407,0
408,9
409,3
410,2
411,5
412,5
413,7
414,3
415,6
416,0
417,3
418,4
419,5
420,6
421,7
422,6
423,8
424,2
425,9
426,8
427,2
428,0
429,1
430,3
431,3
432,3
433,3
434,9
435,8
436,1
437,1
438,8
439,9
440,7
441,9
442,2
443,7
444,0
445,5
446,2
447,9
448,6
449,0
450,7
451,1
452,9
453,0
454,1
455,0
456,4
457,5
458,9
459,4
460,7
461,4
462,4
463,3
464,5
465,6
466,9
467,4
468,3
469,3
470,2
471,3
472,6
473,2
474,4
475,2
476,9
477,6
478,7
479,1
480,6
481,0
482,0
483,5
484,7
485,3
486,6
487,0
488,8
489,0
490,0
491,1
492,0
493,7
494,1
495,5
496,9
497,1
498,8
499,5
500,3
501,2
502,7
503,6
504,2
505,7
506,9
507,9
508,3
509,2
510,4
511,4
512,5
513,6
514,5
515,7
516,6
517,1
518,5
519,1
520,5
521,6
522,7
523,2
524,8
525,0
526,3
527,5
528,2
529,0
530,0
531,7
532,6
533,2
534,1
535,8
536,3
537,4
538,2
539,0
540,4
541,4
542,2
543,8
544,0
545,1
546,1
547,4
548,4
549,5
550,8
551,5
552,9
553,1
554,6
555,0
556,1
557,8
558,2
559,0
560,4
561,5
562,7
563,0
564,7
565,2
566,5
567,1
568,3
569,6
570,0
571,6
572,3
573,3
574,3
575,3
576,1
577,0
578,5
579,2
580,4
581,0
582,6
583,5
584,5
585,6
586,8
587,9
588,5
589,8
590,4
591,6
592,0
593,0
594,9
595,0
596,1
597,1
598,9
599,8
600,0
601,9
602,6
603,1
604,0
605,3
606,3
607,3
608,7
609,8
610,6
611,3
612,8
613,5
614,5
615,2
616,1
617,3
618,5
619,9
620,1
621,6
622,6
623,3
624,6
625,6
626,0
627,0
628,0
629,0
630,4
631,5
632,1
633,2
634,3
635,1
636,6
637,0
638,0
